vernacularName,scientificName
Tibetan Partridge,Perdix hodgsoniae
Epirus Water Frog,Pelophylax epeiroticus
Crimean iris,Iris lutescens
Leatherleaf,Chamaedaphne calyculata
Song Sparrow ssp gouldii,Melospiza melodia gouldii
Brown Pelican ssp californicus,Pelecanus occidentalis californicus
California Quail ssp californica,Callipepla californica californica
Great Blue Heron ssp herodias,Ardea herodias herodias
Common Murre ssp californica,Uria aalge californica
Peregrine Falcon ssp anatum,Falco peregrinus anatum
Dark-eyed Junco ssp thurberi,Junco hyemalis thurberi
California Mule Deer,Odocoileus hemionus californicus
American Robin ssp propinquus,Turdus migratorius propinquus
Steller's Jay ssp frontalis,Cyanocitta stelleri frontalis
Brown Creeper ssp occidentalis,Certhia americana occidentalis
American Dipper ssp unicolor,Cinclus mexicanus unicolor
Alpine Chipmunk,Neotamias alpinus
Violet-green Swallow ssp thalassina,Tachycineta thalassina thalassina
Mountain Quail ssp eremophilus,Oreortyx pictus eremophilus
Long-eared Chipmunk,Neotamias quadrimaculatus
California Ground Squirrel ssp sierrae,Otospermophilus beecheyi sierrae
Brown-headed Cowbird ssp obscurus,Molothrus ater obscurus
California Black Bear,Ursus americanus californiensis
Acorn Woodpecker ssp bairdi,Melanerpes formicivorus bairdi
California Scrub Jay ssp oocleptica,Aphelocoma californica oocleptica
Lodgepole Chipmunk,Neotamias speciosus
Gunnison's Prairie Dog,Cynomys gunnisoni
Abert's Squirrel,Sciurus aberti
Cliff Chipmunk,Neotamias dorsalis
Dark-eyed Junco ssp caniceps,Junco hyemalis caniceps
Rocky Mountain Elk,Cervus canadensis nelsoni
Chipping Sparrow ssp arizonae,Spizella passerina arizonae
Northern Raven ssp sinuatus,Corvus corax sinuatus
Western Pygmy-Blue,Brephidium exilis
Round-tailed Ground Squirrel,Xerospermophilus tereticaudus
Great Horned Owl ssp pallescens,Bubo virginianus pallescens
Arizona Gray Squirrel,Sciurus arizonensis
Wild Turkey ssp merriami,Meleagris gallopavo merriami
Harris' Antelope Squirrel,Ammospermophilus harrisii
Curve-billed Thrasher ssp palmeri,Toxostoma curvirostre palmeri
Burrowing Owl ssp hypugaea,Athene cunicularia hypugaea
White-faced Ibis,Plegadis chihi
Western Kingbird,Tyrannus verticalis
Ladder-backed Woodpecker ssp cactophilus,Dryobates scalaris cactophilus
Phainopepla ssp lepida,Phainopepla nitens lepida
American Bushtit ssp californicus,Psaltriparus minimus californicus
California Chipmunk,Neotamias obscurus
Western Gull ssp wymani,Larus occidentalis wymani
Wrentit ssp fasciata,Chamaea fasciata fasciata
California Thrasher ssp redivivum,Toxostoma redivivum redivivum
Snowy Egret ssp brewsteri,Egretta thula brewsteri
Belding's Savannah Sparrow,Passerculus sandwichensis beldingi
Horned Grebe ssp cornutus,Podiceps auritus cornutus
Pied-billed Grebe ssp podiceps,Podilymbus podiceps podiceps
Long-beaked Common Dolphin ssp capensis,Delphinus capensis capensis
Black-vented Shearwater,Puffinus opisthomelas
Pacific-slope Flycatcher ssp insulicola,Empidonax difficilis insulicola
Island Scrub Jay,Aphelocoma insularis
North Pacific Humpback Whale,Megaptera novaeangliae kuzira
Yellow-billed Magpie,Pica nuttalli
Pigeon Guillemot ssp eureka,Cepphus columba eureka
Southern Sea Otter,Enhydra lutris nereis
Pink-footed Shearwater,Ardenna creatopus
Canada Goose ssp moffitti,Branta canadensis moffitti
Large Housefly Catcher,Plexippus paykulli
Levant Green Lizard,Lacerta media
Common Redshank ssp totanus,Tringa totanus totanus
Blainville's Beaked Whale,Mesoplodon densirostris
Greater horn wrack,Flustra foliacea
Green Skimmer,Orthetrum serapia
hybrid Marram Grass,Calamagrostis x  callammophila (C. arenaria x epigejos)
Bismarck Crow,Corvus insularis
Tissue,Triphosa dubitata
Eastern Larkspur,Consolida hispanica
Balkan Green-veined White,Pieris balcana
Lytta spanishfly,Lytta vesicatoria
Red-bellied Fruit Dove,Ptilinopus greyi
Eastern Towhee,Pipilo erythrophthalmus
Madagascan Fish Eagle,Haliaeetus vociferoides
Madagascan Hoopoe,Upupa marginata
Ionian Emperor,Thaleropis ionia
Odd-spot Blue,Turanana endymion
Pontic Blue,Neolysandra coelestina
Eastern Grayling,Hipparchia pellucida
Eastern Brown Argus,Kretania eurypilus
Romanov's Vernal Copper,Tomares romanovi
Aegean Skipper,Pyrgus melotis
Gerhard's Black Hairstreak,Satyrium abdominalis
Alcides Skipper,Eogenes alcides
Turkish Fiery Copper,Lycaena ochimus
Hyrcanian Black Hairstreak,Satyrium hyrcanicum
Chestnut-naped Forktail,Enicurus ruficapillus
Fiery Minivet,Pericrocotus igneus
Blue-winged Leafbird ssp moluccensis,Chloropsis cochinchinensis moluccensis
Hybrid Domesticated Goose x Canada Goose,Anser anser forma domestica x Branta canadensis
Common Blackbird ssp merula,Turdus merula merula
European alder leafminer,Fenusa dohrnii
White arctic mountain heather,Cassiope tetragona
Common Linnet ssp cannabina,Linaria cannabina cannabina
Mediterranean Flycatcher ssp balearica,Muscicapa tyrrhenica balearica
Beck's Petrel,Pseudobulweria becki
Bridled Tern ssp anaethetus,Onychoprion anaethetus anaethetus
New Forest Shieldbug,Eysarcoris aeneus
Nodular Money Cowry,Monetaria moneta
Squashberry viburnum,Viburnum spec.
Malagasy Sacred Ibis,Threskiornis bernieri
Humblot's Heron,Ardea humbloti
Malagasy Palm Swift ssp gracilis,Cypsiurus gracilis gracilis
Stripe-throated Jery,Neomixis striatigula
Crested Drongo,Dicrurus forficatus
Madagascan Lark,Eremopterix hova
Red-bellied Slider,Pseudemys rubriventris
Horse mussel,Modiolus modiolus
Common Murre ssp hyperborea,Uria aalge hyperborea
Marbled Murrelet,Brachyramphus marmoratus
Parakeet Auklet,Aethia psittacula
Horned Puffin,Fratercula corniculata
Red-billed Chough ssp himalayanus,Pyrrhocorax pyrrhocorax himalayanus
Laggar Falcon,Falco jugger
Horned Lark ssp longirostris,Eremophila alpestris longirostris
Moorish Viper,Daboia mauritanica
Lapidary snail,Helicigona lapicida
Borrer's Saltmarsh-grass,Puccinellia fasciculata
Thessalian Bright Bush-cricket,Poecilimon thessalicus
Bowhead Whale,Balaena mysticetus
Eurasian Oystercatcher ssp ostralegus,Haematopus ostralegus ostralegus
Heldreich's Stone Grasshopper,Glyphotmethis heldreichi
Bar-bellied Pitta,Hydrornis elliotii
Hairybroom,Cytisus villosus
Bryde's Whale,Balaenoptera edeni
Common Chaffinch ssp coelebs,Fringilla coelebs coelebs
Common apple moss,Bartramia pomiformis
Arctic Tern / Common Tern,Sterna paradisaea / Sterna hirundo
Spear-leaved Willowherb,Epilobium lanceolatum
Razorbill / Common Murre,Alca torda / Uria aalge
Gran Canaria Giant Lizard,Gallotia stehlini
Gran Canaria Skink,Chalcides sexlineatus
Thick-billed Euphonia ssp crassirostris,Euphonia laniirostris crassirostris
Honey Garlic,Nectaroscordum siculum
Purple Crane's-bill,Geranium x magnificum (G. ibericum x platypetalum)
Phalakron Blue,Polyommatus icarus andronicus
Marmora's Warbler,Sylvia sarda
British Stonechat,Saxicola rubicola hibernans
Bunch-flowered Daffodil,Narcissus tazetta
Adriatic Bellflower,Campanula garganica
Transvolcanic Jay,Aphelocoma ultramarina
Meadow Foam,Limnanthes douglasii
Essex Emerald,Thetidia smaragdaria
Cricket unkown,Gryllidae spec.
Little Owl ssp bactriana,Athene noctua bactriana
Short-billed Dowitcher ssp griseus,Limnodromus griseus griseus
Reddish Egret ssp rufescens,Egretta rufescens rufescens
Unidentified Marsh Fly,Sciomyzidae indet.
Vichet's Bush-cricket,Amedegnatiana vicheti
Black-tailed Prairie Dog,Cynomys ludovicianus
Shiras Moose,Alces alces shirasi
Unidentified Katydid,Tettigoniidae
Pseudolus' Saddle Bush-cricket,Steropleurus pseudolus
Common Eider ssp mollissima,Somateria mollissima mollissima
Black-legged Kittiwake ssp tridactyla,Rissa tridactyla tridactyla
Common Murre ssp albionis,Uria aalge albionis
Lowland Streaked Tenrec,Hemicentetes semispinosus
Thamnornis,Thamnornis chloropetoides
Colourful Molehopper,Xya variegata
Lafresnaye's Vanga,Xenopirostris xenopirostris
Archbold's Newtonia,Newtonia archboldi
Long-tailed Ground Roller,Uratelornis chimaera
Omani Owl,Strix butleri
Running Coua,Coua cursor
Lesser Vasa Parrot,Coracopsis nigra
Greater Vasa Parrot,Coracopsis vasa
Subdesert Mesite,Monias benschi
Seedcorn maggot,Delia platura
Cuckoo Roller,Leptosomus discolor
Arabian Scops Owl,Otus pamelae
Saunders's Tern,Sternula saundersi
Greek Red Damsel,Pyrrhosoma elisabethae
Fair Isle Wren,Troglodytes troglodytes fridariensis
Diels Cotoneaster,Cotoneaster dielsianus
Razorbill ssp islandica,Alca torda islandica
Grey Emutail,Bradypterus seebohmi
Pitta-like Ground Roller,Atelornis pittoides
Crossley's Vanga,Mystacornis crossleyi
Northern blow fly,Protophormia terraenovae
Karpathos Frog,Pelophylax cerigensis
Pacific-slope Flycatcher,Empidonax difficilis
White-zoned Furrow Bee,Lasioglossum leucozonium
Oertzen's Rock Lizard,Anatololacerta oertzeni
Slender arrowhead,Sagittaria graminea
Leopardplant,Ligularia dentata
Cappadocian Maple,Acer cappadocicum
African Love-grass,Eragrostis curvula
Butterfly unknown,Rhopalocera spec.
Long-clawed Porcelain Crab,Pisidia longicornis
Fieber's Walking Bush-cricket,Psorodonotus fieberi
Blackwing Speckled Bush-cricket,Leptophyes discoidalis
Red-legged Partridge ssp hispanica,Alectoris rufa hispanica
Hybrid Chiffchaff x Willow Warbler,Phylloscopus collybita x Phylloscopus trochilus
Hairy Yellow-face Bee,Hylaeus hyalinatus
Canadian Lynx,Lynx canadensis
Pale-billed Woodpecker,Campephilus guatemalensis
Common Eider ssp borealis,Somateria mollissima borealis
Butterfly Stonecrop,Hylotelephium spectabile
Knock beetle,Xestobium rufovillosum
Green-tailed Sunbird ssp koelzi,Aethopyga nipalensis koelzi
Nine bark,Physocarpus opulifolius
Tangled hypericum,Hypericum triquetrifolium
White nightshade,Solanum elaeagnifolium
Yellowtail clownfish,Amphiprion clarkii
Portuguese Man of War,Physalia physalis
Zimbabwe creeper,Podranea ricasoliana
Poinsettia,Euphorbia pulcherrima
Red-billed Chough ssp pyrrhocorax,Pyrrhocorax pyrrhocorax pyrrhocorax
Horizontal navelwort,Umbilicus horizontalis
Brahminy Kite ssp flavirostris,Haliastur indus flavirostris
Solomons Cockatoo,Cacatua ducorpsii
Oblong Meadow Bush-cricket,Vichetia oblongicollis
Rock Sandpiper,Calidris ptilocnemis
Cream-winged Cinclodes ssp albiventris,Cinclodes albiventris albiventris
Small-flowered Sweet-briar,Rosa micrantha
La Palma sow-thistle,Sonchus palmensis
Broad-leaved Leek,Allium nigrum
Cosson's hook moss,Scorpidium cossonii
Bearded Stonewort,Chara canescens
Zimmer's Bright Bush-cricket,Poecilimon zimmeri
Sturgeon,Acipenser sturio
Yellow-headed Blackbird,Xanthocephalus xanthocephalus
More-modest Plump Bush-cricket,Isophya modestior
Eurasian Wren ssp islandicus,Troglodytes troglodytes islandicus
Small Spreadwing (ssp. vestalis),Lestes virens vestalis
White-billed Crow,Corvus woodfordi
Willie Wagtail ssp melaleuca,Rhipidura leucophrys melaleuca
Turkish Goldenring,Cordulegaster picta
Banded demoiselle (ssp. amasina),Calopteryx splendens amasina
Turkish Red Damselfly,Ceriagrion georgifreyi
Killdeer ssp ternominatus,Charadrius vociferus ternominatus
Carpathian Newt,Lissotriton montandoni
Plain Pigeon,Patagioenas inornata
Hispaniolan Trogon,Priotelus roseigaster
Northern Potoo ssp abbotti,Nyctibius jamaicensis abbotti
Sand star,Astropecten irregularis
Wood-louse Glandular Bush-cricket,Bradyporus oniscus
Yellow-candles,Pachystachys lutea
Wall scalewort,Porella platyphylla
Pale red slender,Caloptilia elongella
Hispaniolan Woodpecker,Melanerpes striatus
Southern gentian,Gentiana alpina
Rose case-bearer,Coleophora gryphipennella
Greek Goldenring (ssp. helladica),Cordulegaster helladica helladica
Banded Demoiselle (ssp. balcanica),Calopteryx splendens balcanica
White-browed Fulvetta ssp bieti,Fulvetta vinipectus bieti
Fire-tailed Sunbird ssp ignicauda,Aethopyga ignicauda ignicauda
Grey-headed Canary-flycatcher ssp calochrysea,Culicicapa ceylonensis calochrysea
Hill Prinia ssp superciliaris,Prinia superciliaris superciliaris
Black-headed Sibia ssp desgodinsi,Heterophasia desgodinsi desgodinsi
Red-crowned Parakeet ssp chathamensis,Cyanoramphus novaezelandiae chathamensis
Caspian Pond Turtle,Mauremys caspica
Lined Hooktail,Paragomphus lineatus
See-see Partridge,Ammoperdix griseogularis
Iraq Babbler,Argya altirostris
Beauty-bush,Kolkwitzia amabilis
San Cristobal Mockingbird,Mimus melanotis
Small Ground Finch,Geospiza fuliginosa
Galapagos Flycatcher,Myiarchus magnirostris
Medium Ground Finch,Geospiza fortis
Large Ground Finch,Geospiza magnirostris
Lava Heron,Butorides sundevalli
Galapagos Shearwater,Puffinus subalaris
Green Warbler-Finch,Certhidea olivacea
Galapagos Martin,Progne modesta
Common Cactus Finch,Geospiza scandens
Marine Iguana,Amblyrhynchus cristatus
Pale-edged Flycatcher,Myiarchus cephalotes
Scarlet-crowned Barbet,Capito aurovirens
Striolated Manakin ssp striolatus,Machaeropterus striolatus striolatus
Cinnamon Becard,Pachyramphus cinnamomeus
One-colored Becard,Pachyramphus homochrous
Red-headed Barbet,Eubucco bourcierii
Choco Trogon,Trogon comptus
Glistening-green Tanager,Chlorochrysa phoenicotis
Crimson-bellied Woodpecker,Campephilus haematogaster
Andean Cock-of-the-rock ssp sanguinolentus,Rupicola peruvianus sanguinolentus
Blue-winged Mountain Tanager ssp cyanopterus,Anisognathus somptuosus cyanopterus
Smoke-colored Pewee,Contopus fumigatus
Hooded Mountain Tanager,Buthraupis montana
Mediterranean mussel,Mytilus galloprovincialis
Irish Hare,Lepus timidus hibernicus
Lined click beetle,Agriotes lineatus
Lesser Horseshoe Bat,Rhinolophus hipposideros
Collared Forest Falcon,Micrastur semitorquatus
Guianan Cock-of-the-rock,Rupicola rupicola
Colorado stonecrop,Sedum spathulifolium
Hackberry,Celtis occidentalis
Hop-hornbeam,Ostrya carpinifolia
African Grey Hornbill ssp nasutus,Lophoceros nasutus nasutus
Plantain,Plantago spec.
Molina's Hog-nosed Skunk,Conepatus chinga
Green-headed Hillstar,Oreotrochilus stolzmanni
Chatham Shag,Leucocarbo onslowi
Pitt Shag,Phalacrocorax featherstoni
Crimson-backed Tanager ssp dimidiatus,Ramphocelus dimidiatus dimidiatus
Chatham Albatross,Thalassarche eremita
Chatham Oystercatcher,Haematopus chathamensis
Great Millet,Sorghum bicolor
Boreal astarte,Astarte borealis
Torotoroka Scops Owl,Otus madagascariensis
Dyer's Alkanet,Alkanna tinctoria
Barred Cuckoo-Dove,Macropygia unchall
Bicolored Wren ssp zimmeri,Campylorhynchus griseus zimmeri
Pale-flowered Orchid,Orchis pallens
Northern Shrike,Lanius borealis
Heart Moth,Dicycla oo
Common Bottlenose Dolphin ssp truncatus,Tursiops truncatus truncatus
Maria's Worm Lizard,Blanus mariae
Capybara,Hydrochoerus hydrochaeris
Stripe-tailed Hummingbird,Eupherusa eximia
Spectacled Owl,Pulsatrix perspicillata
Slate-colored Hawk,Buteogallus schistaceus
Toco Toucan,Ramphastos toco
Yellow-billed Cardinal,Paroaria capitata
Brazilian giant-rhubarb,Gunnera manicata
Bombus lucorum-complex,Bombus lucorum-gr.
Cape Rockjumper,Chaetops frenatus
Virginia knotweed,Persicaria virginiana
White-naped Crane,Antigone vipio
Hybrid European Goldfinch x Atlantic Canary,Carduelis carduelis x Serinus canaria
Thorow-wax,Bupleurum rotundifolium
Pagoda flower,Clerodendrum paniculatum
Australian White Ibis ssp pygmaeus,Threskiornis molucca pygmaeus
Golden-crowned Kinglet,Regulus satrapa
House Bunting ssp sahari,Emberiza sahari sahari
Green-rumped Parrotlet,Forpus passerinus
Bark Bonnet,Mycena speirea
Marsh Pug,Eupithecia pygmaeata
Southern Black Korhaan,Afrotis afra
Longlegged Sac Spider unknown,Cheiracanthium spec.
Black-fronted Titi Monkey,Callicebus nigrifrons
Dina Yellow,Pyrisitia dina westwoodi
Little Owl ssp indigena,Athene noctua indigena
Silver-beaked Tanager ssp carbo,Ramphocelus carbo carbo
Turquoise Tanager ssp boliviana,Tangara mexicana boliviana
Red-capped Cardinal ssp gularis,Paroaria gularis gularis
Northern Hog Badger,Arctonyx albogularis
American Tree Sparrow,Spizelloides arborea
Slender-leaved Pondweed,Stuckenia filiformis
Large Speckled Bush-Cricket,Isophya pyrenaea
Silvery hair grass,Aira cupaniana
Spicebush Swallowtail,Papilio troilus
Iberian Red Deer,Cervus elaphus hispanicus
African Silverbill ssp cantans,Euodice cantans cantans
Gosling's Bunting,Emberiza goslingi
Buff-throated Sunbird,Chalcomitra adelberti
Slaty-breasted Rail,Gallirallus striatus
Small Bur-parsley,Caucalis platycarpos
Indian-shot,Canna indica
Hudsonian Godwit,Limosa haemastica
Large Meadow Mining Bee,Andrena labialis
Fire-crested Alethe,Alethe castanea
Narrowleaf blue-eyed grass,Sisyrinchium angustifolium
Shining pea mussel,Euglesa nitida
Rough Comfrey,Symphytum asperum
Helmethead Gecko,Geckonia chazaliae
Grey-headed Bristlebill,Bleda canicapillus
Red-shouldered Cuckooshrike,Campephaga phoenicea
Spotted Honeyguide,Indicator maculatus
Saimaa Seal,Pusa hispida saimensis
Agile Antechinus,Antechinus agilis
Black-billed Thrush ssp ignobilis,Turdus ignobilis ignobilis
Fivespot,Nemophila maculata
Black-horned Capuchin,Sapajus nigritus
Red-rumped Cacique,Cacicus haemorrhous
Cattle Tyrant,Machetornis rixosa
Chestnut-eared Aracari,Pteroglossus castanotis
Piratic Flycatcher,Legatus leucophaius
Scaly-headed Parrot,Pionus maximiliani
White-winged Duck,Asarcornis scutulata
Common Pheasant ssp colchicus,Phasianus colchicus colchicus
Anteater Chat,Myrmecocichla aethiops
Black-fronted Piping Guan,Pipile jacutinga
Dusky-legged Guan,Penelope obscura
Houting,Coregonus oxyrinchus
Immigrant triclad planarian,Girardia tigrina
Black-throated Munia,Lonchura kelaarti
Hybrid Common Pochard x Ferruginous Duck,Aythya ferina x Aythya nyroca
Chestnut-backed Owlet,Glaucidium castanonotum
Serendib Scops Owl,Otus thilohoffmanni
Sri Lanka Drongo,Dicrurus lophorinus
Sombre Greenbul ssp insularis,Andropadus importunus insularis
Con Song Long-tailed Macaque,Macaca fascicularis condorensis
Brown-capped Babbler,Pellorneum fuscocapillus
Indian Pitta,Pitta brachyura
Sri Lanka Green Pigeon,Treron pompadora
King Bird-of-paradise,Cicinnurus regius
Cape Barren Goose ssp novaehollandiae,Cereopsis novaehollandiae novaehollandiae
Senegal Batis,Batis senegalensis
Oriental shrimp,Palaemon macrodactylus
Black Bishop,Euplectes gierowii
Northern Cassowary,Casuarius unappendiculatus
Greater Lophorina,Lophorina superba
Western Parotia,Parotia sefilata
Plum-faced Lorikeet,Oreopsittacus arfaki
Papuan Lorikeet,Charmosyna papou
Papuan Mountain Pigeon,Gymnophaps albertisii
Wattled Brushturkey ssp arfakianus,Aepypodius arfakianus arfakianus
Black-tailed Nativehen,Tribonyx ventralis
Pearl-spotted Owlet ssp perlatum,Glaucidium perlatum perlatum
Common Dotted Border,Mylothris chloris
Lesser Blue-eared Starling,Lamprotornis chloropterus
Long-tailed Nightjar ssp climacurus,Caprimulgus climacurus climacurus
African Thrush ssp chiguancoides,Turdus pelios chiguancoides
Crested Lark ssp senegallensis,Galerida cristata senegallensis
Vitelline Masked Weaver,Ploceus vitellinus
Giant Kingfisher ssp maxima,Megaceryle maxima maxima
Yellow Penduline Tit,Anthoscopus parvulus
Dark Chanting Goshawk ssp metabates,Melierax metabates metabates
Beaudouin's Snake Eagle,Circaetus beaudouini
Western Barn Owl ssp poensis,Tyto alba poensis
White-spotted Flufftail,Sarothrura pulchra
Dwarf Bittern,Ixobrychus sturmii
Patas Monkey,Erythrocebus patas
White-fronted Black Chat,Oenanthe albifrons
Common Buttonquail,Turnix sylvaticus
Flappet Lark ssp buckleyi,Mirafra rufocinnamomea buckleyi
Temminck's Courser ssp temminckii,Cursorius temminckii temminckii
Mottled Spinetail,Telacanthura ussheri
Gabar Goshawk,Micronisus gabar
Brown-rumped Bunting,Emberiza affinis
African Blue Flycatcher,Elminia longicauda
Bronze-tailed Starling,Lamprotornis chalcurus
Rose-breasted Grosbeak,Pheucticus ludovicianus
Vogelkop Bowerbird,Amblyornis inornata
Greater Sooty Owl ssp arfaki,Tyto tenebricosa arfaki
Dwarf Cassowary,Casuarius bennetti
White-bellied Seedsnipe,Attagis malouinus
Yellow-bridled Finch ssp xanthogramma,Melanodera xanthogramma xanthogramma
Amazilia Hummingbird,Amazilia amazilia
Cyclamen,Cyclamen purpurascens
Cyclamen,Cyclamen hederifolium
Arcuate Tent-making Bat,Uroderma convexum
White-shouldered Tanager,Tachyphonus luctuosus
Langoustine,Nephrops norvegicus
Showy chalicevine,Solandra grandiflora
Ruddy Woodcreeper,Dendrocincla homochroa
Zanzibar Sykesâ€™s Monkey,Cercopithecus mitis albogularis
Twelve-wired Bird-of-paradise,Seleucidis melanoleucus
Trumpet Manucode,Phonygammus keraudrenii
Hooded Butcherbird,Cracticus cassicus
Cinnamon Ground Dove,Gallicolumba rufigula
Yellow-rumped Thornbill,Acanthiza chrysorrhoa
Black-capped Lory,Lorius lory
Beautiful Fruit Dove,Ptilinopus pulchellus
Orange-fronted Fruit Dove,Ptilinopus aurantiifrons
Moustached Monkey,Cercopithecus cephus
Triangular staghorn fern,Platycerium stemaria
Aga umbrella-tree,Musanga cecropioides
Long-billed Corella,Cacatua tenuirostris
Putty-nosed Monkey,Cercopithecus nictitans
Common guava,Psidium guajava
Scarlet tasselflower,Emilia coccinea
Banded Prinia,Prinia bairdii
Burchell's Sandgrouse,Pterocles burchelli
Salt's Dikdik,Madoqua saltiana
Lesser Kudu,Tragelaphus imberbis
Rosy-patched Bushshrike,Telophorus cruentus
Arabian Bustard,Ardeotis arabs
Gillett's Lark,Mirafra gilletti
Pygmy Falcon,Polihierax semitorquatus
Abyssinian Hare,Lepus habessinicus
Hybrid Olive Baboon x Hamadryas Baboon,Papio anubis x Papio hamadryas
Gerenuk,Litocranius walleri
Somali Ostrich,Struthio molybdophanes
Unstriped Ground Squirrel,Xerus rutilus
Yellow-breasted Barbet,Trachyphonus margaritatus
Red-bellied parrot,Poicephalus rufiventris
Western Baboon,Papio hamadryas
Sombre Rock Chat,Oenanthe dubia
White-cheeked Turaco,Tauraco leucotis
White-winged Black Tit,Melaniparus leucomelas
Bright's Gazelle,Nanger granti notata
White-tailed Mongoose,Ichneumia albicauda
Grey-headed Batis,Batis orientalis
Eastern Grey Woodpecker,Dendropicos spodocephalus
African Spotted Creeper,Salpornis salvadori
White-backed Duck,Thalassornis leuconotus
Spot-breasted Lapwing,Vanellus melanocephalus
Abyssinian Catbird,Parophasma galinieri
Montane Nightjar,Caprimulgus poliocephalus
White-backed Black Tit,Melaniparus leuconotus
Abyssinian Woodpecker,Dendropicos abyssinicus
Ethiopian Highland Hare,Lepus starcki
Slender-billed Starling,Onychognathus tenuirostris
Serval,Leptailurus serval
Abyssinian Longclaw,Macronyx flavicollis
Big-headed Mole Rat,Tachyoryctes macrocephalus
Moorland Francolin,Scleroptila psilolaema
Cinnamon Bracken Warbler,Bradypterus cinnamomeus
Bushpig,Potamochoerus larvatus
Somali Short-toed Lark,Alaudala somalica
Archer's Lark,Heteromirafra archeri
Ethiopian Swallow,Hirundo aethiopica
White-crowned Starling,Lamprotornis albicapillus
Golden-breasted Starling,Lamprotornis regius
Yellow-spotted Bush Sparrow,Gymnoris pyrgita
African Collared Dove,Streptopelia roseogrisea
White-winged Collared Dove,Streptopelia reichenowi
Vulturine Guineafowl,Acryllium vulturinum
White-tailed Swallow,Hirundo megaensis
Black-capped Social Weaver,Pseudonigrita cabanisi
Stresemann's Bushcrow,Zavattariornis stresemanni
Somali Bunting,Emberiza poliopleura
Scissor-tailed Kite,Chelictinia riocourii
Oribi,Ourebia ourebi
White-rumped Babbler,Turdoides leucopygia
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus
White-necked Thrush,Turdus albicollis
Yellow-billed Cotinga,Carpodectes antoniae
Feline Owlet-nightjar,Aegotheles insignis
Scaly stalkball,Tulostoma melanocyclum
Acicular metal lichen,Vezdaea acicularis
Yellow-headed Dwarf Gecko,Lygodactylus luteopicturatus
Zanzibar Red Colobus,Piliocolobus kirkii
Grey Sunbird,Cyanomitra veroxii
Kuhl's Pipistrelle,Pipistrellus kuhlii
Two-horned pincerwort,Cephalozia bicuspidata
Sei Whale,Balaenoptera borealis
Malachite Kingfisher ssp galeritus,Corythornis cristatus galeritus
Chinese Silver-grass,Miscanthus sinensis
Freckle-breasted Woodpecker ssp analis,Dendrocopos analis analis
Black-thighed Falconet,Microhierax fringillarius
Indigo Flycatcher,Eumyias indigo
Northern Fulmar ssp glacialis,Fulmarus glacialis glacialis
Snow-scorpion fly,Boreus hyemalis
Barkflies,Psocoptera indet.
Bean razor clam,Pharus legumen
Truncate donax,Donax trunculus
Winged everlasting,Ammobium alatum
Black-fronted Spurfowl,Pternistis atrifrons
Paxillus vernalis,Paxillus filamentosus
Sri Lanka Thrush,Zoothera imbricata
Bitter Webcap,Cortinarius infractus
RÃ¼ppell's Korhaan,Eupodotis rueppelii
Wailing Cisticola,Cisticola lais
Dark-backed Sibia,Heterophasia melanoleuca
Yunnan Fulvetta,Alcippe fratercula
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum
Flavescent Bulbul,Pycnonotus flavescens
Japanese Tit ssp nubicolus,Parus minor nubicolus
Golden-throated Barbet,Psilopogon franklinii
Tapegrass,Vallisneria spiralis
Oval Spike-rush,Eleocharis ovata
Wood Fescue,Festuca altissima
Short-billed Pipit,Anthus furcatus
Yellow Cardinal,Gubernatrix cristata
Australian Raven ssp coronoides,Corvus coronoides coronoides
Little Wattlebird ssp halmaturina,Anthochaera chrysoptera halmaturina
Crimson Rosella ssp melanopterus,Platycercus elegans melanopterus
Australian Fur Seal,Arctocephalus pusillus doriferus
Eastern Spinebill ssp halmaturinus,Acanthorhynchus tenuirostris halmaturinus
Common kettlewort,Blasia pusilla
Chocolate-backed Kingfisher,Halcyon badia
Emperor Swallowtail,Papilio ophidicephalus
Lazy Cisticola,Cisticola aberrans
Hepatic Tanager,Piranga hepatica
Hutton's Vireo,Vireo huttoni
Striated Pardalote ssp ornatus,Pardalotus striatus ornatus
Eastern Wood Pewee,Contopus virens
Black-headed Sibia,Heterophasia desgodinsi
Rufous-backed Sibia,Leioptila annectens
Rainbow Lorikeet ssp septentrionalis,Trichoglossus moluccanus septentrionalis
Rufous-capped Babbler,Stachyridopsis ruficeps
Cinnamon Warbling Finch,Poospiza ornata
Carbonated Sierra Finch,Phrygilus carbonarius
Wilson's Snipe,Gallinago delicata
Trumpet Manucode ssp keraudrenii,Phonygammus keraudrenii keraudrenii
Northern Mealy Amazon,Amazona guatemalae
Common brighteyes,Reichardia picroides
Steller's Sea Eagle,Haliaeetus pelagicus
Southern Blue-gum,Eucalyptus globulus
Irish Heath,Erica erigena
Barnacle-eating onchidoris,Onchidoris bilamellata
Croaking Cisticola,Cisticola natalensis
Tibetan Snowcock,Tetraogallus tibetanus
Wrenthrush,Zeledonia coronata
Ochraceous Wren,Troglodytes ochraceus
Black-cheeked Warbler,Basileuterus melanogenys
Lincoln's Sparrow,Melospiza lincolnii
Vesper Sparrow,Pooecetes gramineus
Clay-colored Sparrow,Spizella pallida
Bobolink,Dolichonyx oryzivorus
Green Anole,Anolis carolinensis
Green Bee-eater ssp viridissimus,Merops orientalis viridissimus
